RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005
"","","","","","","","","","","",""
I,I,P,P,V,V,R,R,Wh,Wh,Ah,Ah
Time I [A DC],I [A DC],Time P [W],P [W],Time V [V DC],V [V DC],Time R [Ω],R [Ω],Time Wh [Wh],Wh [Wh],Time Ah [Ah],Ah [Ah]
77.0490,0,77.0490,0,77.0490,0,77.0490,-1.79769e+308,77.0490,0,77.0490,0
77.4380,0,77.4380,0,77.4380,0,77.4380,-1.79769e+308,77.4380,0,77.4380,0
77.8280,0,77.8280,0,77.8280,0,77.8280,-1.79769e+308,77.8280,0,77.8280,0
78.2170,0,78.2170,0,78.2170,0,78.2170,-1.79769e+308,78.2170,0,78.2170,0
78.6060,0,78.6060,0,78.6060,0,78.6060,-1.79769e+308,78.6060,0,78.6060,0
78.9950,0,78.9950,0,78.9950,0,78.9950,-1.79769e+308,78.9950,0,78.9950,0
79.3840,0,79.3840,0,79.3840,0,79.3840,-1.79769e+308,79.3840,0,79.3840,0
79.7730,0,79.7730,0,79.7730,0,79.7730,-1.79769e+308,79.7730,0,79.7730,0
80.1630,0,80.1630,0,80.1630,0,80.1630,-1.79769e+308,80.1630,0,80.1630,0
80.5520,0,80.5520,0,80.5520,0,80.5520,-1.79769e+308,80.5520,0,80.5520,0
80.9400,0,80.9400,0,80.9400,0,80.9400,-1.79769e+308,80.9400,0,80.9400,0
81.3300,0,81.3300,0,81.3300,0,81.3300,-1.79769e+308,81.3300,0,81.3300,0
81.7190,0,81.7190,0,81.7190,0,81.7190,-1.79769e+308,81.7190,0,81.7190,0
82.1080,0,82.1080,0,82.1080,0,82.1080,-1.79769e+308,82.1080,0,82.1080,0
82.4980,0,82.4980,0,82.4980,0,82.4980,-1.79769e+308,82.4980,0,82.4980,0
82.8870,0,82.8870,0,82.8870,0,82.8870,-1.79769e+308,82.8870,0,82.8870,0
83.2760,0,83.2760,0,83.2760,0,83.2760,-1.79769e+308,83.2760,0,83.2760,0
83.6650,0,83.6650,0,83.6650,0,83.6650,-1.79769e+308,83.6650,0,83.6650,0
84.0540,0,84.0540,0,84.0540,0,84.0540,-1.79769e+308,84.0540,0,84.0540,0
84.4430,0,84.4430,0,84.4430,0,84.4430,-1.79769e+308,84.4430,0,84.4430,0
84.8320,0,84.8320,0,84.8320,0,84.8320,-1.79769e+308,84.8320,0,84.8320,0
85.2220,0,85.2220,0,85.2220,0,85.2220,-1.79769e+308,85.2220,0,85.2220,0
85.6110,0,85.6110,0,85.6110,0,85.6110,-1.79769e+308,85.6110,0,85.6110,0
86.0000,0,86.0000,0,86.0000,0,86.0000,-1.79769e+308,86.0000,0,86.0000,0
86.3890,0,86.3890,0,86.3890,0,86.3890,-1.79769e+308,86.3890,0,86.3890,0
86.7780,0,86.7780,0,86.7780,0,86.7780,-1.79769e+308,86.7780,0,86.7780,0
87.1680,0,87.1680,0,87.1680,0,87.1680,-1.79769e+308,87.1680,0,87.1680,0
87.5560,0,87.5560,0,87.5560,0,87.5560,-1.79769e+308,87.5560,0,87.5560,0
87.9460,0,87.9460,0,87.9460,0,87.9460,-1.79769e+308,87.9460,0,87.9460,0
88.3350,0,88.3350,0,88.3350,0,88.3350,-1.79769e+308,88.3350,0,88.3350,0
88.7240,0,88.7240,0,88.7240,0,88.7240,-1.79769e+308,88.7240,0,88.7240,0
89.1130,0,89.1130,0,89.1130,0,89.1130,-1.79769e+308,89.1130,0,89.1130,0
89.5030,0,89.5030,0,89.5030,0,89.5030,-1.79769e+308,89.5030,0,89.5030,0
89.8910,0,89.8910,0,89.8910,0,89.8910,-1.79769e+308,89.8910,0,89.8910,0
90.6550,0,90.6550,0,90.6550,3.64,90.6550,1.79769e+308,90.6550,0,90.6550,0
91.0440,0,91.0440,0,91.0440,9.99,91.0440,1.79769e+308,91.0440,0,91.0440,0
